self_time	total_time	line	self_time_per_call	method	num_calls	total_time_per_call	file
2.1e-06	2.1e-06	321	1.3125e-07	"genexpr"	16	1.3125e-07	"<frozen importlib._bootstrap>"
8.599999999999999e-06	1.5799999999999998e-05	318	2.1499999999999997e-06	"__exit__"	4	3.9499999999999995e-06	"<frozen importlib._bootstrap>"
7.2e-06	1.13e-05	51	6e-07	"_r_long"	12	9.416666666666667e-07	"<frozen importlib._bootstrap_external>"
4.4e-06	4.4e-06	369	1.1e-06	"__init__"	4	1.1e-06	"<frozen importlib._bootstrap>"
5.0999999999999995e-06	5.57e-05	403	6.374999999999999e-07	"cached"	8	6.9625e-06	"<frozen importlib._bootstrap>"
1.05e-05	1.1099999999999999e-05	416	2.625e-06	"parent"	4	2.7749999999999997e-06	"<frozen importlib._bootstrap>"
9e-07	9e-07	424	2.25e-07	"has_location"	4	2.25e-07	"<frozen importlib._bootstrap>"
2.84e-05	3.78e-05	58	4.655737704918033e-07	"listcomp"	61	6.19672131147541e-07	"<frozen importlib._bootstrap_external>"
2.1499999999999997e-05	0.00010219999999999999	504	5.374999999999999e-06	"_init_module_attrs"	4	2.5549999999999998e-05	"<frozen importlib._bootstrap>"
1.24e-05	0.0001226	576	3.1e-06	"module_from_spec"	4	3.065e-05	"<frozen importlib._bootstrap>"
1.96e-05	0.0032943	663	4.9e-06	"_load_unlocked"	4	0.000823575	"<frozen importlib._bootstrap>"
2.4e-06	7.2999999999999996e-06	719	6e-07	"find_spec"	4	1.8249999999999999e-06	"<frozen importlib._bootstrap>"
3.05e-05	7.81e-05	56	5e-07	"_path_join"	61	1.280327868852459e-06	"<frozen importlib._bootstrap_external>"
3.1e-06	5.7e-06	792	7.75e-07	"find_spec"	4	1.425e-06	"<frozen importlib._bootstrap>"
1.7899999999999998e-05	2.2499999999999998e-05	62	2.2374999999999998e-06	"_path_split"	8	2.8124999999999998e-06	"<frozen importlib._bootstrap_external>"
3.6e-06	4.6e-06	855	3e-07	"__enter__"	12	3.8333333333333335e-07	"<frozen importlib._bootstrap>"
3.6e-06	5.0999999999999995e-06	859	3e-07	"__exit__"	12	4.2499999999999995e-07	"<frozen importlib._bootstrap>"
1.08e-05	0.0007572	74	4.6956521739130434e-07	"_path_stat"	23	3.292173913043478e-05	"<frozen importlib._bootstrap_external>"
